Xpath;Nome;Definição;Tipo de dado;Tamanho;Mandatoriedade;Formato;Domínio;Mínimo de Ocorrências;Máximo de Ocorrências;Restrições;Nulidade;"Tipo Dado 
Json"
GET /personal/financial-relations/;;Método para obter os registros de relacionamento da pessoa natural mantidos na instituição transmissora;;;;;;;;;;
data/;;Objeto que reúne as informações relativas ao relacionamento do cliente junto à Instituição. Considera-se relacionamento as informações que permitam conhecer desde quando a pessoa consultada é cliente da instituição, bem como um indicador dos produtos e serviços que ela consome atualmente e seus representantes ;Objeto;;Obrigatório;;;1;1;Não há restrição;;Objeto
data/updateDateTime;updateDateTime;"Data e hora da atualização do bloco de Relacionamento, conforme especificação RFC-3339. p.ex. ""2020-07-21T08:30:00Z""";Data Hora;20;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])T(?:[01]\d|2[0123]):(?:[012345]\d):(?:[012345]\d)Z$;;1;1;Não há restrição;;String
data/startDate;startDate;Data de início de relacionamento com a Instituição Financeira. Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS;Data;10;Obrigatório;^(\d{4})-(1[0-2]|0?[1-9])-(3[01]|[12][0-9]|0?[1-9])$;;1;1;Deve trazer o menor valor entre a informação reportada ao BACEN pelo DOC 3040 e CCS;;String
data/productsServicesType;productsServicesType;Lista com a relação dos produtos e serviços com contrato vigente.;Texto;24;Obrigatório;;"CONTA_DEPOSITO_A_VISTA
CONTA_POUPANCA
CONTA_PAGAMENTO_PRE_PAGA
CARTAO_CREDITO
OPERACAO_CREDITO
SEGURO
PREVIDENCIA
INVESTIMENTO
OPERACOES_CAMBIO
CONTA_SALARIO
CREDENCIAMENTO
OUTROS";1;1;Não há restrição;;Enum
data/productsServicesTypeAddionalInfo;productsServicesTypeAddionalInfo;Informações adicionais do tipo de serviço.;Texto;100;Opcional;\w*\W*;;1;1;Campo obrigatório quando productsServicesType for 'OUTROS'.;;String
data/procurators/;;Lista dos representantes. De preenchimento obrigatório se houver representante.;Lista;;Opcional;;;1;N;Não há restrição;;Lista
data/procurators/type;type;"Tipo de representante. 
Representante legal - Nome Civil completo da Pessoa Natural que represente uma entidade ou uma empresa e é nomeado em seu ato constitutivo, ou seja, no contrato social ou estatuto social. 
Procurador - é qualquer pessoa que represente a Pessoa Natural em algum negócio, mediante autorização escrita do mesmo.Vide Enum ";Texto;19;Obrigatório;;"REPRESENTANTE_LEGAL
PROCURADOR
NAO_SE_APLICA";1;1;Não há restrição;;Enum
data/procurators/cpfNumber;cpfNumber;Número completo do CPF. O CPF é o Cadastro de Pessoa natural. Ele é um documento feito pela Receita Federal e serve para identificar os contribuintes. O CPF é uma numeração com 11 dígitos, que só mudam por decisão judicial. O documento é emitido pela receita federal;Texto;11;Obrigatório;\d{11}|^NA$;;1;1;Não há restrição;;String
data/procurators/civilName;civilName;"Nome civil completo da pessoa natural. (Direito fundamental da
pessoa, o nome civil é aquele atribuído à pessoa natural desde o registro de seu nascimento, com o qual será identificada por toda a sua vida, bem como após a sua morte) ";Texto;70;Obrigatório;\w*\W*;;1;1;Não há restrição;;String
data/procurators/socialName;socialName;Nome social da pessoa natural, se houver. (aquele pelo qual travestis e transexuais se reconhecem, bem como são identificados por sua comunidade e em seu meio social, conforme Decreto Local). Caso a instituição não possua a informação, pode ser retornado “NA”.;Texto;70;Obrigatório;\w*\W*;;1;1;Caso a instituição não possua a informação, pode ser retornado “NA”.;;String
data/accounts;;Lista de contas depósito à vista, poupança e pagamento pré-pagas mantidas pelo cliente na instituição transmissora e para as quais ele tenha fornecido consentimento;Lista;;Obrigatório;;;1;N;Não há restrição;;Lista
data/accounts/type;type;"Tipos de contas. Modalidades tradicionais previstas pela Resolução 4.753, não contemplando contas vinculadas, conta de domiciliados no exterior, contas em moedas estrangeiras e conta correspondente moeda eletrônica. Vide Enum
Conta de depósito à vista ou Conta corrente - é o tipo mais comum. Nela, o dinheiro fica à sua disposição para ser sacado a qualquer momento. Essa conta não gera rendimentos para o depositante
Conta poupança - foi criada para estimular as pessoas a pouparem. O dinheiro que ficar na conta por trinta dias passa a gerar rendimentos, com isenção de imposto de renda para quem declara. Ou seja, o dinheiro “cresce” (rende) enquanto ficar guardado na conta. Cada depósito terá rendimentos de mês em mês, sempre no dia do mês em que o dinheiro tiver sido depositado
Conta de pagamento pré-paga: segundo CIRCULAR Nº 3.680, BCB de 2013, é a 'destinada à execução de transações de pagamento em moeda eletrônica realizadas com base em fundos denominados em reais previamente aportados'.
SEM_TIPO_CONTA - para reporte nos dados de identificação quando o cliente não possuir conta na instituição transmissora.";Texto;24;Obrigatório;;"CONTA_DEPOSITO_A_VISTA
CONTA_POUPANCA
CONTA_PAGAMENTO_PRE_PAGA
SEM_TIPO_CONTA";1;1;Não há restrição;;ENUM
data/accounts/subtype;subtype;"Subtipo de conta (vide Enum): 
  Conta individual - possui um único titular
  Conta conjunta simples - onde as movimentações financeiras só podem serem realizadas mediante autorização de TODOS os correntistas da conta.
  Conta conjunta solidária - é a modalidade cujos titulares podem realizar movimentações de forma isolada, isto é, sem que seja necessária a autorização dos demais titulares.
  SEM_SUB_TIPO_CONTA - para reporte nos dados de identificação quando o cliente não possuir conta na instituição transmissora.";Texto;22;Obrigatório;;"INDIVIDUAL
CONJUNTA_SOLIDARIA
CONJUNTA_SIMPLES
SEM_SUB_TIPO_CONTA";1;1;Não há restrição;;ENUM
data/accounts/compeCode;compeCode;Código identificador atribuído pelo Banco Central do Brasil às instituições participantes do STR (Sistema de Transferência de reservas).O Compe (Sistema de Compensação de Cheques e Outros Papéis) é um sistema que identifica e processa as compensações bancárias. Ele é representado por um código de três dígitos que serve como identificador de bancos, sendo assim, cada instituição bancária possui um número exclusivo ;Texto;3;Obrigatório;\d{3}|^NA$;;1;1;Não há restrição;;String
data/accounts/branchCode;branchCode;Código da Agência detentora da conta. (Agência é a dependência destinada ao atendimento aos clientes, ao público em geral e aos associados de cooperativas de crédito, no exercício de atividades da instituição, não podendo ser móvel ou transitória);Texto;4;Obrigatório;\d{4}|^NA$;;1;1;Não há restrição;;String
data/accounts/number;number;Número da conta;Texto;20;Obrigatório;^\d{8,20}$|^NA$;;1;1;Não há restrição;;String
data/accounts/checkDigit;checkDigit;Dígito da conta;Texto;1;Obrigatório;\w*\W*;;1;1;Não há restrição;;String

